Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
385,Ochai Agbaji,25,TOR,SG,42,13,15.5,1.7,4.0,.424,0.3,1.5,.185,1.4,2.5,.571,.459,0.6,0.7,.862,0.8,1.5,2.3,0.7,0.4,0.3,0.5,1.8,4.3,,agbajoc01
385,Ochai Agbaji,25,BRK,SG,19,0,16.1,2.4,5.2,.455,1.1,3.1,.339,1.3,2.1,.625,.556,0.6,0.7,.786,0.6,1.6,2.2,0.8,0.3,0.3,0.6,0.9,6.4,,agbajoc01
386,Jamal Cain,26,ORL,SF,35,1,11.1,1.7,3.5,.468,0.7,1.7,.393,1.0,1.8,.540,.565,1.0,1.1,.895,0.6,1.1,1.7,0.7,0.3,0.1,0.5,1.3,5.0,,cainja01
387,Asa Newell,20,ATL,PF,42,1,10.8,2.0,3.7,.539,0.7,1.7,.394,1.3,2.0,.663,.630,0.3,0.6,.560,0.9,1.0,2.0,0.5,0.4,0.3,0.5,1.5,5.0,,newelas01
388,Baylor Scheierman,25,BOS,SG,72,19,18.2,1.8,4.0,.450,1.1,2.9,.386,0.7,1.1,.620,.590,0.3,0.3,.864,0.8,2.7,3.5,1.5,0.6,0.1,0.6,1.3,5.0,,scheiba01
389,KJ Simpson,23,2TM,PG,18,2,13.8,1.8,5.4,.340,0.7,2.2,.300,1.2,3.2,.368,.402,0.6,1.0,.611,0.4,1.4,1.9,2.4,0.9,0.0,1.3,1.0,4.9,,simpskj01
389,KJ Simpson,23,CHO,PG,14,2,15.9,2.2,6.4,.348,0.9,2.8,.308,1.4,3.6,.380,.416,0.7,1.1,.625,0.4,1.7,2.1,2.5,1.1,0.0,1.7,1.0,6.0,,simpskj01
389,KJ Simpson,23,DEN,PG,4,0,6.3,0.5,2.0,.250,0.0,0.3,.000,0.5,1.8,.286,.250,0.3,0.5,.500,0.8,0.5,1.3,2.0,0.3,0.0,0.0,1.0,1.3,,simpskj01
390,Adem Bona,22,PHI,C,67,15,17.3,1.8,3.1,.591,0.0,0.1,.333,1.8,3.0,.599,.596,1.1,1.6,.706,1.8,2.6,4.4,0.4,0.4,1.2,0.8,2.2,4.9,,bonaad01
391,Jalen Pickett,26,DEN,SG,47,18,15.8,1.9,4.4,.424,0.9,2.4,.386,0.9,1.9,.473,.532,0.3,0.3,.867,0.4,1.9,2.3,2.2,0.3,0.1,0.6,0.9,4.9,,pickeja02
392,Tyrese Proctor,21,CLE,PG,46,1,10.3,1.7,4.2,.403,0.8,2.5,.342,0.8,1.7,.494,.505,0.7,0.8,.889,0.2,0.9,1.1,1.3,0.4,0.0,0.6,1.2,4.9,,proctty01
393,Killian Hayes,24,SAC,PG,19,3,16.6,1.7,5.8,.288,0.7,2.7,.255,1.0,3.2,.317,.347,0.8,0.8,.938,0.2,2.2,2.4,3.6,0.6,0.2,1.1,1.5,4.8,,hayeski01
394,Lonzo Ball,28,CLE,PG,35,3,20.8,1.5,5.0,.301,1.1,4.2,.272,0.4,0.8,.448,.415,0.4,0.6,.667,0.7,3.3,4.0,3.9,1.3,0.3,1.5,1.3,4.6,,balllo01
395,Malaki Branham,22,WAS,SG,28,0,9.8,1.5,3.3,.473,0.5,1.3,.378,1.0,1.9,.537,.549,1.0,1.2,.824,0.4,1.1,1.6,0.8,0.4,0.1,0.5,0.8,4.6,,branhma01
396,Branden Carlson,26,OKC,C,38,2,10.3,1.9,3.6,.522,0.6,1.6,.339,1.3,2.0,.671,.598,0.2,0.5,.500,0.6,1.9,2.6,0.6,0.2,0.5,0.4,0.9,4.6,,carlsbr01
397,Bez Mbeng,22,UTA,SG,12,3,29.8,1.8,4.4,.396,0.3,1.7,.150,1.5,2.8,.545,.425,0.8,1.3,.667,1.1,2.2,3.3,3.3,1.8,0.4,1.3,3.4,4.6,,mbengbe01
398,Josh Okogie,27,HOU,SG,73,29,17.2,1.6,3.8,.438,0.8,2.1,.397,0.8,1.7,.488,.547,0.5,0.9,.571,1.0,1.5,2.5,0.8,0.8,0.2,0.5,1.4,4.6,,okogijo01
399,Jeremiah Robinson-Earl,25,2TM,PF,22,3,16.4,1.7,4.5,.370,0.5,1.9,.244,1.2,2.7,.458,.420,0.8,0.8,.944,1.6,3.0,4.7,0.7,0.4,0.0,0.5,1.2,4.6,,robinje02
399,Jeremiah Robinson-Earl,25,IND,PF,17,3,17.6,1.7,4.9,.349,0.5,1.9,.242,1.2,2.9,.420,.398,0.8,0.8,.929,1.9,3.3,5.2,0.7,0.4,0.1,0.6,1.4,4.6,,robinje02
399,Jeremiah Robinson-Earl,25,DAL,PF,5,0,12.2,1.6,3.4,.471,0.4,1.6,.250,1.2,1.8,.667,.529,0.8,0.8,1.000,0.8,2.2,3.0,0.6,0.4,0.0,0.4,0.6,4.4,,robinje02
400,PJ Hall,23,2TM,C,19,2,11.3,1.6,3.1,.508,0.2,0.3,.600,1.4,2.8,.500,.534,1.2,1.5,.793,1.7,2.2,3.9,0.5,0.2,0.5,0.8,1.2,4.5,,hallpj01
400,PJ Hall,23,MEM,C,7,0,3.9,0.7,1.3,.556,0.1,0.4,.333,0.6,0.9,.667,.611,0.3,0.4,.667,0.4,0.9,1.3,0.3,0.0,0.3,0.1,0.4,1.9,,hallpj01
400,PJ Hall,23,CHO,C,12,2,15.6,2.1,4.2,.500,0.2,0.2,1.000,1.9,4.0,.479,.520,1.8,2.2,.808,2.5,3.0,5.5,0.7,0.3,0.7,1.3,1.6,6.1,,hallpj01
401,Josh Green,25,CHO,SG,54,0,16.2,1.5,3.3,.460,1.0,2.5,.421,0.5,0.8,.581,.619,0.5,0.5,.893,0.8,1.0,1.8,0.9,0.6,0.1,0.6,1.2,4.5,,greenjo02
402,Mouhamed Gueye,23,ATL,PF,74,8,15.4,1.7,3.8,.454,0.5,1.7,.306,1.2,2.1,.570,.521,0.5,0.8,.645,1.2,2.4,3.6,0.9,0.8,0.5,0.4,1.6,4.5,,gueyemo02
403,A.J. Lawson,25,TOR,SG,19,0,9.6,1.5,3.3,.468,0.8,1.8,.457,0.7,1.4,.481,.597,0.6,0.7,.857,0.4,1.4,1.8,0.3,0.5,0.2,0.3,1.3,4.5,,lawsoaj01
404,Jase Richardson,20,ORL,SG,51,0,11.2,1.6,3.5,.464,0.5,1.5,.359,1.1,2.0,.544,.541,0.6,0.9,.727,0.4,0.8,1.2,1.1,0.3,0.0,0.5,1.0,4.5,,richaja02
405,Jarred Vanderbilt,26,LAL,PF,60,3,17.5,1.7,3.7,.466,0.5,1.5,.297,1.3,2.2,.583,.527,0.6,0.9,.623,1.3,3.3,4.5,1.2,0.9,0.3,0.8,1.7,4.5,,vandeja01
406,Gabe Vincent,29,2TM,PG,50,7,16.8,1.4,4.2,.344,1.1,3.3,.331,0.3,0.9,.395,.476,0.4,0.4,.950,0.3,0.7,1.0,1.4,0.5,0.1,0.5,1.5,4.4,,vincega01
406,Gabe Vincent,29,LAL,PG,29,7,19.3,1.6,4.5,.346,1.3,3.6,.369,0.2,0.9,.259,.492,0.3,0.4,.909,0.2,0.7,0.9,1.3,0.5,0.0,0.4,1.8,4.8,,vincega01
406,Gabe Vincent,29,ATL,PG,21,0,13.4,1.3,3.8,.342,0.8,3.0,.270,0.5,0.8,.625,.449,0.4,0.4,1.000,0.3,0.8,1.1,1.7,0.6,0.1,0.7,1.1,3.8,,vincega01
407,DeAndre Jordan,37,NOP,C,12,7,16.6,1.8,2.7,.656,0.0,0.0,,1.8,2.7,.656,.656,0.9,1.4,.647,2.2,4.2,6.3,0.9,0.3,0.8,0.8,1.3,4.4,,jordade01
408,Tyler Kolek,24,NYK,PG,62,1,11.7,1.7,4.0,.435,0.7,1.8,.386,1.0,2.2,.478,.524,0.2,0.3,.700,0.3,1.3,1.6,2.7,0.4,0.1,0.9,1.0,4.4,,kolekty01
409,Liam McNeeley,20,CHO,SF,30,0,12.1,1.3,3.1,.404,0.8,2.0,.400,0.5,1.1,.412,.532,1.1,1.3,.821,0.4,2.0,2.4,0.8,0.2,0.1,0.4,1.2,4.4,,mcneeli01
410,Jericho Sims,27,MIL,C,62,16,18.6,1.9,2.4,.793,0.0,0.0,,1.9,2.4,.793,.793,0.6,0.9,.636,2.0,3.3,5.3,1.3,0.2,0.2,1.1,2.0,4.4,,simsje01
411,Jabari Walker,23,PHI,PF,61,6,12.2,1.5,3.4,.448,0.5,1.5,.330,1.0,1.9,.543,.521,0.8,1.0,.750,1.1,1.9,3.1,0.5,0.4,0.2,0.4,1.7,4.4,,walkeja01
412,Rayan Rupert,21,2TM,SG,61,6,15.6,1.6,4.2,.390,0.6,1.9,.342,1.0,2.3,.429,.467,0.4,0.6,.735,0.6,1.9,2.5,0.8,0.8,0.1,0.7,1.9,4.3,,ruperra01
412,Rayan Rupert,21,POR,SG,48,0,12.0,1.1,3.1,.361,0.5,1.5,.310,0.6,1.6,.408,.435,0.2,0.3,.643,0.5,1.3,1.8,0.7,0.6,0.0,0.6,1.3,2.9,,ruperra01
412,Rayan Rupert,21,MEM,SG,13,6,28.8,3.5,8.2,.430,1.3,3.3,.395,2.2,4.9,.453,.509,1.2,1.5,.800,1.1,4.2,5.2,1.2,1.3,0.3,1.1,4.1,9.6,,ruperra01
413,Mike Conley,38,MIN,PG,51,13,18.1,1.2,3.9,.315,0.9,3.0,.312,0.3,0.9,.326,.435,0.8,0.9,.896,0.3,1.4,1.7,2.9,0.6,0.3,0.6,1.5,4.3,,conlemi01
414,Kam Jones,23,IND,SG,32,7,16.0,1.8,4.3,.426,0.6,1.9,.311,1.2,2.3,.520,.496,0.1,0.3,.500,0.3,1.3,1.6,3.0,0.5,0.0,0.9,1.1,4.3,,joneska03
415,Yanic Konan Niederhäuser,22,LAC,C,41,0,10.3,1.6,2.4,.640,0.0,0.1,.200,1.5,2.3,.663,.645,1.1,1.5,.758,0.9,2.0,2.9,0.3,0.1,0.7,0.6,1.6,4.3,,konanya01
416,Skal Labissière,29,WAS,PF,3,0,12.7,2.0,3.3,.600,0.3,1.7,.200,1.7,1.7,1.000,.650,0.0,0.0,,1.0,2.0,3.0,1.0,0.7,0.3,0.3,1.0,4.3,,labissk01
417,Dereck Lively II,21,DAL,C,7,4,16.4,1.6,2.6,.611,0.0,0.0,,1.6,2.6,.611,.611,1.1,1.4,.800,2.0,3.3,5.3,1.9,0.6,1.6,1.4,3.0,4.3,,livelde01
418,Grant Nelson,23,BRK,PF,4,0,8.8,1.3,2.3,.556,0.0,0.0,,1.3,2.3,.556,.556,1.8,2.5,.700,0.3,1.3,1.5,1.3,0.3,1.3,1.0,1.5,4.3,,nelsogr02
419,Craig Porter Jr.,25,CLE,PG,60,2,17.6,1.8,4.0,.439,0.5,1.5,.345,1.3,2.5,.493,.502,0.3,0.6,.556,1.3,2.0,3.3,3.2,0.9,0.6,0.9,1.1,4.3,,portecr01
420,Rasheer Fleming,21,PHO,PF,51,0,11.7,1.5,3.8,.407,0.8,2.3,.345,0.8,1.5,.500,.510,0.4,0.6,.563,1.1,1.2,2.3,0.2,0.4,0.4,0.4,1.2,4.2,,flemira01
421,Taelon Peter,23,IND,SG,33,0,11.9,1.5,3.9,.375,1.1,3.2,.330,0.4,0.7,.591,.512,0.2,0.4,.538,0.2,1.2,1.4,1.0,0.6,0.1,0.6,0.9,4.2,,peterta01
422,John Konchar,29,2TM,SG,52,8,19.0,1.6,3.3,.471,0.5,1.7,.278,1.1,1.6,.683,.544,0.5,0.7,.694,1.2,2.7,3.9,1.8,1.3,0.6,0.5,1.4,4.1,,konchjo01
422,John Konchar,29,MEM,SG,30,1,14.5,1.2,2.4,.521,0.4,1.3,.333,0.8,1.1,.750,.613,0.3,0.4,.615,0.7,2.4,3.1,1.3,1.0,0.4,0.5,1.0,3.2,,konchjo01
422,John Konchar,29,UTA,SG,22,7,25.1,2.0,4.6,.436,0.5,2.3,.235,1.5,2.3,.640,.495,0.8,1.0,.739,1.9,3.2,5.0,2.4,1.7,0.9,0.6,1.9,5.3,,konchjo01
423,Jordan Hawkins,23,NOP,SG,47,0,12.5,1.5,4.3,.343,0.8,2.5,.336,0.6,1.8,.353,.440,0.3,0.4,.800,0.3,1.1,1.5,0.6,0.2,0.2,0.6,0.5,4.1,,hawkijo01
424,Noah Penda,21,ORL,SF,56,2,13.2,1.5,3.6,.412,0.5,1.6,.333,0.9,1.9,.477,.487,0.6,0.9,.688,1.2,2.1,3.3,1.2,0.5,0.3,0.8,1.2,4.1,,pendano01
425,Terrence Shannon Jr.,25,MIN,SG,38,1,11.5,1.3,3.3,.411,0.6,1.4,.382,0.8,1.8,.435,.496,0.9,1.2,.773,0.2,0.9,1.1,0.7,0.3,0.0,0.5,1.2,4.1,,shannte01
426,RayJ Dennis,24,3TM,PG,16,0,11.3,1.4,4.6,.301,0.8,2.4,.308,0.6,2.1,.294,.384,0.5,0.6,.889,0.5,0.9,1.4,1.9,0.3,0.3,0.9,1.1,4.0,,dennira01
426,RayJ Dennis,24,IND,PG,13,0,12.9,1.7,5.5,.306,0.9,2.9,.316,0.8,2.6,.294,.389,0.6,0.7,.889,0.6,1.0,1.6,2.0,0.2,0.3,1.1,1.2,4.9,,dennira01
426,RayJ Dennis,24,LAC,PG,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,dennira01
426,RayJ Dennis,24,ATL,PG,2,0,4.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.5,0.0,,dennira01
427,Nicolas Batum,37,LAC,PF,71,6,17.8,1.3,3.3,.398,1.2,3.1,.398,0.1,0.1,.400,.589,0.1,0.2,.818,0.3,2.2,2.5,0.9,0.7,0.3,0.5,1.3,4.0,,batumni01
428,Tony Bradley,28,IND,C,38,3,10.9,1.6,2.8,.557,0.0,0.1,.500,1.5,2.7,.558,.561,0.8,1.1,.744,1.5,1.3,2.8,0.5,0.2,0.2,0.4,1.6,4.0,,bradlto01
429,Brandon Clarke,29,MEM,PF,2,2,10.0,1.5,4.5,.333,0.0,0.0,,1.5,4.5,.333,.333,1.0,2.0,.500,2.0,1.0,3.0,0.5,1.0,0.0,0.0,2.5,4.0,,clarkbr01
430,Taj Gibson,40,MEM,C,7,0,9.3,1.4,2.6,.556,0.4,0.7,.600,1.0,1.9,.538,.639,0.7,0.9,.833,0.9,1.3,2.1,0.6,0.3,0.1,0.1,1.4,4.0,,gibsota01
431,DaRon Holmes,23,DEN,PF,22,6,9.1,1.4,2.6,.517,0.9,1.9,.452,0.5,0.7,.688,.681,0.4,0.5,.818,0.3,1.1,1.4,0.7,0.0,0.2,0.5,0.9,4.0,,holmeda01
432,Dalton Knecht,24,LAL,SF,50,1,10.3,1.6,3.5,.446,0.6,2.0,.304,0.9,1.5,.644,.534,0.3,0.4,.700,0.3,1.1,1.4,0.3,0.2,0.2,0.4,0.8,4.0,,knechda01
433,Moussa Cisse,23,DAL,C,35,1,12.8,1.5,2.6,.589,0.0,0.0,,1.5,2.6,.589,.589,0.8,1.9,.439,2.0,3.1,5.1,0.2,0.4,1.1,0.7,1.9,3.9,,cissemo01
434,Myron Gardner,24,MIA,SF,41,7,9.6,1.4,2.9,.479,0.6,1.6,.406,0.8,1.3,.564,.588,0.5,0.6,.731,0.9,1.9,2.9,1.0,0.5,0.2,0.4,1.8,3.9,,gardnmy01
435,Hugo González,19,BOS,SF,72,3,14.7,1.6,3.3,.473,0.6,1.6,.357,1.0,1.8,.575,.556,0.2,0.4,.500,0.9,2.5,3.4,0.5,0.5,0.3,0.5,1.7,3.9,,gonzahu01
436,Caleb Martin,30,DAL,SF,58,12,14.8,1.5,3.3,.450,0.3,1.0,.351,1.1,2.3,.492,.503,0.6,1.1,.607,0.5,2.0,2.5,1.4,0.7,0.3,0.7,1.5,3.9,,martica02
437,Carter Bryant,20,SAS,PF,66,0,10.9,1.4,3.6,.386,0.6,2.1,.307,0.7,1.5,.495,.475,0.4,0.6,.711,0.5,1.9,2.4,0.5,0.2,0.3,0.4,1.2,3.8,,bryanca01
438,Jaylen Clark,24,MIN,SG,63,0,12.4,1.4,3.2,.432,0.4,1.3,.310,1.0,1.8,.522,.497,0.7,1.1,.657,0.8,1.0,1.8,0.5,0.6,0.1,0.3,1.2,3.8,,clarkja02
439,Micah Peavy,24,NOP,SG,57,1,13.5,1.6,4.2,.376,0.4,1.6,.245,1.2,2.5,.462,.424,0.3,0.4,.714,0.7,1.1,1.8,0.9,0.7,0.1,0.3,1.4,3.8,,peavymi01
440,Omer Yurtseven,27,GSW,C,9,0,11.6,1.2,2.9,.423,0.0,0.4,.000,1.2,2.4,.500,.423,1.3,2.0,.667,1.4,1.9,3.3,0.9,0.2,0.1,1.0,1.7,3.8,,yurtsom01
441,Patrick Baldwin Jr.,23,3TM,SF,9,1,11.3,1.2,3.0,.407,0.7,1.6,.429,0.6,1.4,.385,.519,0.6,0.8,.714,1.3,1.2,2.6,0.6,0.3,0.6,0.6,1.7,3.7,,baldwpa01
441,Patrick Baldwin Jr.,23,LAC,SF,2,0,6.0,1.5,2.0,.750,1.0,1.5,.667,0.5,0.5,1.000,1.000,1.0,1.0,1.000,0.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,5.0,,baldwpa01
441,Patrick Baldwin Jr.,23,PHI,SF,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,baldwpa01
441,Patrick Baldwin Jr.,23,SAC,SF,6,1,14.7,1.3,3.8,.348,0.7,1.8,.364,0.7,2.0,.333,.435,0.5,0.8,.600,2.0,1.5,3.5,0.8,0.5,0.8,0.7,2.2,3.8,,baldwpa01
442,Dalen Terry,23,2TM,SG,47,0,11.6,1.4,3.3,.435,0.5,1.4,.364,0.9,1.9,.489,.513,0.3,0.6,.552,0.5,1.3,1.8,1.4,0.6,0.3,0.6,1.0,3.7,,terryda01
442,Dalen Terry,23,CHI,SG,34,0,11.1,1.3,3.0,.441,0.6,1.4,.413,0.8,1.6,.464,.534,0.3,0.5,.529,0.6,1.3,1.9,1.3,0.6,0.3,0.6,1.0,3.5,,terryda01
442,Dalen Terry,23,PHI,SG,13,0,13.0,1.7,4.0,.423,0.4,1.5,.250,1.3,2.5,.531,.471,0.5,0.9,.583,0.5,1.1,1.5,1.8,0.5,0.3,0.4,1.2,4.3,,terryda01
443,Keshad Johnson,24,MIA,SF,27,0,7.8,1.3,3.0,.439,0.4,1.4,.316,0.9,1.6,.545,.512,0.6,0.9,.680,0.7,1.1,1.9,0.1,0.4,0.3,0.4,0.8,3.7,,johnske10
444,Zeke Nnaji,25,DEN,PF,49,3,11.9,1.3,2.9,.471,0.3,1.0,.265,1.1,1.9,.582,.518,0.7,0.9,.773,0.6,2.0,2.6,0.5,0.3,0.4,0.5,1.3,3.7,,nnajize01
445,Clint Capela,31,HOU,C,70,2,12.4,1.5,3.0,.512,0.0,0.0,,1.5,3.0,.512,.512,0.6,1.0,.597,2.1,2.5,4.6,0.7,0.5,0.8,0.6,1.0,3.6,,capelca01
446,Mohamed Diawara,20,NYK,SF,67,6,8.8,1.3,3.0,.436,0.7,1.8,.390,0.6,1.2,.506,.554,0.2,0.3,.737,0.2,1.1,1.3,0.7,0.2,0.1,0.4,0.7,3.6,,diawamo01
447,Tolu Smith,25,DET,PF,12,0,9.8,1.2,2.3,.500,0.0,0.0,,1.2,2.3,.500,.500,1.3,1.8,.682,1.6,2.0,3.6,0.9,0.2,0.5,0.6,1.6,3.6,,smithto05
448,Trayce Jackson-Davis,25,2TM,C,50,1,9.7,1.4,2.4,.570,0.0,0.0,1.000,1.4,2.4,.567,.574,0.8,1.5,.514,1.3,1.5,2.8,0.8,0.3,0.5,0.4,0.9,3.5,,jackstr02
448,Trayce Jackson-Davis,25,GSW,C,36,1,11.4,1.7,2.8,.588,0.0,0.0,1.000,1.6,2.8,.584,.593,0.8,1.4,.558,1.3,1.8,3.1,0.9,0.4,0.5,0.5,1.1,4.2,,jackstr02
448,Trayce Jackson-Davis,25,TOR,C,14,0,5.4,0.6,1.4,.474,0.0,0.0,,0.6,1.4,.474,.474,0.6,1.6,.409,1.3,0.8,2.1,0.5,0.3,0.3,0.3,0.2,1.9,,jackstr02
449,Jeremy Sochan,22,2TM,PF,42,0,10.5,1.4,2.9,.500,0.2,0.9,.231,1.2,1.9,.630,.538,0.4,0.6,.708,0.8,1.6,2.4,0.8,0.4,0.2,0.5,1.4,3.5,,sochaje01
449,Jeremy Sochan,22,SAS,PF,28,0,12.8,1.7,3.5,.475,0.3,1.3,.257,1.4,2.3,.594,.520,0.4,0.6,.688,0.9,1.7,2.6,1.0,0.4,0.2,0.6,1.8,4.1,,sochaje01
449,Jeremy Sochan,22,NYK,PF,14,0,6.1,0.9,1.5,.619,0.0,0.3,.000,0.9,1.2,.765,.619,0.4,0.6,.750,0.5,1.4,1.9,0.5,0.4,0.1,0.2,0.5,2.3,,sochaje01
450,Keaton Wallace,26,ATL,PG,51,2,9.7,1.3,3.1,.420,0.7,1.8,.398,0.6,1.3,.453,.538,0.2,0.3,.643,0.1,1.0,1.0,1.7,0.5,0.1,0.5,0.9,3.5,,wallake01
451,Lucas Williamson,27,MEM,,2,0,14.0,1.0,3.0,.333,0.5,2.0,.250,0.5,1.0,.500,.417,1.0,1.0,1.000,0.5,1.5,2.0,1.5,0.0,0.0,0.5,2.5,3.5,,willilu01
452,Ron Harper Jr.,25,BOS,SF,26,2,10.3,1.3,3.2,.398,0.8,2.5,.344,0.4,0.7,.579,.530,0.0,0.1,.500,0.5,1.0,1.6,0.7,0.2,0.3,0.2,0.8,3.4,,harpero02
453,Jayson Kent,23,POR,SF,3,0,6.3,1.3,2.0,.667,0.3,1.0,.333,1.0,1.0,1.000,.750,0.3,0.3,1.000,0.0,1.3,1.3,0.0,0.3,0.3,0.0,0.3,3.3,,kentja01
454,Larry Nance Jr.,33,CLE,PF,31,2,11.9,1.3,3.3,.382,0.6,1.8,.345,0.6,1.5,.426,.475,0.1,0.2,.571,0.8,1.7,2.6,0.9,0.5,0.1,0.5,1.6,3.3,,nancela02
455,Dwight Powell,34,DAL,C,58,10,14.0,1.0,1.5,.667,0.0,0.1,.333,1.0,1.4,.679,.672,1.3,1.9,.685,1.4,2.4,3.8,0.9,0.5,0.3,0.6,1.9,3.3,,poweldw01
456,Isaiah Stevens,25,SAC,PG,3,0,14.3,1.0,2.3,.429,0.0,0.3,.000,1.0,2.0,.500,.429,1.3,1.3,1.000,0.7,0.3,1.0,3.3,1.7,0.0,0.7,0.7,3.3,,steveis01
457,James Wiseman,24,IND,C,4,1,14.5,1.5,2.5,.600,0.0,0.0,,1.5,2.5,.600,.600,0.3,0.5,.500,1.3,0.8,2.0,0.8,0.0,0.3,1.3,2.5,3.3,,wisemja01
458,Riley Minix,25,2TM,SF,6,0,3.8,1.3,2.0,.667,0.5,1.0,.500,0.8,1.0,.833,.792,0.0,0.0,,0.3,0.5,0.8,0.7,0.2,0.0,0.3,0.5,3.2,,minixri01
458,Riley Minix,25,SAS,SF,3,0,2.7,1.3,2.0,.667,0.3,1.0,.333,1.0,1.0,1.000,.750,0.0,0.0,,0.3,0.3,0.7,0.3,0.3,0.0,0.0,0.3,3.0,,minixri01
458,Riley Minix,25,CLE,SF,3,0,5.0,1.3,2.0,.667,0.7,1.0,.667,0.7,1.0,.667,.833,0.0,0.0,,0.3,0.7,1.0,1.0,0.0,0.0,0.7,0.7,3.3,,minixri01
459,Jamison Battle,24,TOR,SF,56,2,8.9,1.2,2.4,.504,0.6,1.5,.422,0.6,1.0,.630,.631,0.1,0.2,.667,0.3,1.2,1.6,0.4,0.1,0.1,0.3,0.8,3.2,,battlja01
460,Dorian Finney-Smith,32,HOU,PF,36,1,16.6,1.1,3.4,.331,0.7,2.6,.274,0.4,0.8,.517,.435,0.2,0.2,.857,0.9,1.6,2.5,1.0,0.4,0.2,0.6,1.7,3.2,,finnedo01
461,Kelly Olynyk,34,SAS,C,42,0,8.6,1.1,2.3,.490,0.3,1.1,.255,0.8,1.2,.714,.552,0.6,0.9,.711,0.6,1.2,1.8,1.2,0.4,0.1,0.6,0.9,3.2,,olynyke01
462,Miles Kelly,23,DAL,PG,14,0,9.6,1.1,3.1,.364,0.7,2.4,.303,0.4,0.8,.545,.477,0.1,0.1,1.000,0.4,1.4,1.7,0.9,0.3,0.1,0.4,0.9,3.1,,kellymi02
463,Mark Sears,23,MIL,PG,7,0,3.7,0.9,1.9,.462,0.6,1.1,.500,0.3,0.7,.400,.615,0.9,1.1,.750,0.1,0.1,0.3,0.3,0.0,0.0,0.6,0.6,3.1,,searsma01
464,Drew Timme,25,LAL,PF,23,0,8.1,1.3,2.2,.588,0.3,0.8,.421,1.0,1.4,.688,.667,0.2,0.3,.571,0.4,0.8,1.2,0.7,0.2,0.0,0.3,0.7,3.1,,timmedr01
465,Cam Christie,20,LAC,SG,51,0,9.0,1.0,2.6,.386,0.2,1.0,.245,0.8,1.6,.470,.432,0.7,1.0,.760,0.4,1.1,1.5,0.6,0.3,0.1,0.4,0.4,3.0,,chrisca02
466,Chris Livingston,22,CLE,SF,3,0,5.7,1.3,2.3,.571,0.0,1.0,.000,1.3,1.3,1.000,.571,0.3,0.3,1.000,0.0,1.0,1.0,0.3,0.3,0.0,0.0,1.3,3.0,,livinch01
467,Emanuel Miller,25,CHI,PF,5,0,6.6,1.2,2.6,.462,0.4,1.2,.333,0.8,1.4,.571,.538,0.2,0.4,.500,0.2,0.4,0.6,0.8,0.4,0.0,0.0,0.4,3.0,,milleem01
468,Monte Morris,30,IND,PG,6,0,10.8,1.2,3.3,.350,0.3,1.3,.250,0.8,2.0,.417,.400,0.3,0.7,.500,0.2,1.0,1.2,1.5,0.2,0.2,0.3,0.5,3.0,,morrimo01
469,Nikola Topić,20,OKC,PG,6,0,10.8,1.3,3.0,.444,0.3,1.0,.333,1.0,2.0,.500,.500,0.0,0.0,,0.3,1.3,1.7,2.0,0.0,0.0,1.8,0.8,3.0,,topicni01
470,Amir Coffey,28,2TM,SG,43,2,10.2,1.0,2.2,.484,0.3,1.0,.317,0.7,1.2,.615,.554,0.5,0.7,.786,0.4,0.8,1.2,0.6,0.2,0.1,0.1,0.7,2.9,,coffeam01
470,Amir Coffey,28,MIL,SG,30,2,8.8,0.9,1.8,.473,0.2,0.8,.280,0.6,1.0,.633,.536,0.4,0.5,.867,0.2,0.7,0.9,0.4,0.1,0.1,0.1,0.5,2.4,,coffeam01
470,Amir Coffey,28,PHO,SG,13,0,13.2,1.5,2.9,.500,0.5,1.2,.375,1.0,1.7,.591,.579,0.7,1.0,.692,0.9,1.1,2.0,1.0,0.4,0.2,0.2,1.1,4.1,,coffeam01
471,Tyus Jones,29,3TM,PG,64,10,14.6,1.1,3.2,.346,0.6,2.0,.277,0.5,1.2,.467,.434,0.1,0.1,.778,0.2,0.9,1.0,2.4,0.6,0.0,0.3,0.5,2.9,,jonesty01
471,Tyus Jones,29,ORL,PG,48,8,15.7,1.1,3.3,.342,0.6,2.1,.294,0.5,1.2,.429,.437,0.1,0.1,1.000,0.2,0.9,1.1,2.4,0.7,0.1,0.3,0.5,3.0,,jonesty01
471,Tyus Jones,29,DAL,PG,8,2,16.6,1.6,4.3,.382,0.5,2.4,.211,1.1,1.9,.600,.441,0.1,0.3,.500,0.1,1.0,1.1,3.8,0.4,0.0,0.6,0.6,3.9,,jonesty01
